Name	GC-MF-9021-P-WCL-R1	GC-MF-9021-P-NUC-R1	GC-MF-9021-P-CYT-R1	GC-MF-9021-P-MEB-R1	GC-MF-9021-P-WCL-R2	GC-MF-9021-P-NUC-R2	GC-MF-9021-P-CYT-R2	GC-MF-9021-P-MEB-R2	GC-MF-9021-CA-WCL-R1	GC-MF-9021-CA-NUC-R1	GC-MF-9021-CA-CYT-R1	GC-MF-9021-CA-MEB-R1	GC-MF-9021-CA-WCL-R2	GC-MF-9021-CA-NUC-R2	GC-MF-9021-CA-CYT-R2	GC-MF-9021-CA-MEB-R2	
ENST00000516749.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000411132.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000607561.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000408600.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363236.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363919.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365538.2	0	0.04226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000606575.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516151.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363625.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516836.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391194.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000383869.1	5.443461	6.605115	26.477942	11.135795	15.195904	24.623889	77.406633	11.092017	9.538049	34.998329	151.461567	21.871019	12.446019	31.805225	258.022853	7.854362	
ENST00000516071.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000614007.1	0	0	0	0	0	0	0	0	0	0.10064	0	0	0	0	0	27.714495	
ENST00000516661.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364028.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000390967.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391164.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516788.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384415.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391224.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000411403.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516772.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384199.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384109.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516942.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000611544.1	168.748492	178.218424	746.746524	198.034945	290.729134	200.607197	1570.643979	245.835664	243.065745	430.926596	2805.511453	389.784805	270.638308	256.963782	2681.056807	180.420606	
ENST00000384603.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516308.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000622384.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364047.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516466.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364910.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391303.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362707.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000408448.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391058.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365643.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
